name,form_ict_index,photo,total_points,transfer_in,status,team,now_cost,position,team_shirt,postponed,news,news_added,transfer_in_event,transfer_out_event,selected_by_percent,points_per_game,in_dreamteam,cost_change_event
Wilfried Gnonto,0.0,492859.png,0,4737,a,Leeds,5.0,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,"1,390",562,0.1,0.0,False,0
Joel Robles,0.0,78315.png,0,2902,a,Leeds,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,130,133,0.0,0.0,False,0
Archie Gray,0.0,547701.png,0,7409,i,Leeds,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,Toe Injury - Expected back 16 Oct,2022-09-30T14:00:07.177384Z,400,442,0.1,0.0,False,0
Darko Gyabi,0.0,470294.png,0,12291,a,Leeds,4.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,155,567,0.1,0.0,False,0
Rasmus Kristensen,0.0,224209.png,11,26792,a,Leeds,4.8,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,2022-09-03T18:00:06.668437Z,776,"2,731",0.4,2.2,False,-1
Leo Fuhr Hjelde,0.0,477547.png,0,16802,a,Leeds,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,"2,593","1,427",0.3,0.0,False,0
Lewis Bate,0.0,450529.png,0,0,u,Leeds,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,Season-long loan to Oxford United,2022-08-04T13:22:00.438950Z,0,41,0.0,0.0,False,0
Junior Firpo Adames,0.0,443967.png,0,257,a,Leeds,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,2022-07-13T09:30:03.852560Z,45,32,0.0,0.0,False,0
Kristoffer Klaesson,0.0,223081.png,0,4974,a,Leeds,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,241,"1,204",0.4,0.0,False,0
Pascal Struijk,0.0,222694.png,19,70989,a,Leeds,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,"2,373","3,243",0.5,3.2,False,0
Jamie Shackleton,0.0,221610.png,0,0,u,Leeds,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,Joined Millwall on loan - Expected back 01 Jul,2022-07-19T23:00:04.159636Z,0,6,0.0,0.0,False,0
Raphael Dias Belloli,0.0,219961.png,0,0,u,Leeds,7.0,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,Transferred to Barcelona,2022-07-15T15:56:51.961298Z,0,170,0.1,0.0,False,0
Robin Koch,0.0,193645.png,13,8487,a,Leeds,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,363,664,0.2,2.2,False,0
